Brand,Nama Produk,Formula,Type
Yara,NPK 15-09-20 YARAMILA WINNER,15-09-20,Majemuk
Yara,NPK 16-16-16 YARAMILA UNIK,16-16-16,Majemuk
Yara,NPK 25-7-7 YARAMILA FASTER,25-7-7,Majemuk
Yara,NPK YARAMILA COMPLEX,,Others
Yara,NPK YARAMILA PALMAE,,Others
Yara,YARALIVA NITRABOR,,Others
Yara,YARALIVA TROPICOTE,,Others
Yara,YARATERA CALCINIT,,Others
Yara,YARAVITA TRI-PHOLATE,,Others
DGW/Hextar,NPK COMPACTION,,Others
DGW/Hextar,NPK GOLD,,Others
DGW/Hextar,NPK BOOSTER,,Others
DGW/Hextar,NPK DWS 16-16-16+TE,16-16-16,Majemuk
DGW/Hextar,NPK BOOSTER PREMIUM,,Others
DGW/Hextar,HX - AS,,Others
DGW/Hextar,HX - MROPH,,Others
DGW/Hextar,HX - DAP,,Others
DGW/Hextar,HX - NITRO,,Others
DGW/Hextar,DGW TSP,,Others
DGW/Hextar,KNO3 CRYSTAL,,Others
DGW/Hextar,KNO3 PRILL,,Others
DGW/Hextar,HX - MKP,,Others
DGW/Hextar,CAKRA PANDAWA DAPS,,Others
DGW/Hextar,CAKRA PANDAWA NP,,Others
DGW/Hextar,CAKRA PANDAWA PMS,,Others
DGW/Hextar,CAKRA PANDAWA DSP,,Others
DGW/Hextar,CAKRA PANDAWA P2O5 13% + ZN & B,,Others
DGW/Hextar,COCKHEAD 13-8-27-4+TE,13-8-27-4,Majemuk
DGW/Hextar,COCKHEAD 12-12-17-2+TE,12-12-17-2,Majemuk
DGW/Hextar,NK COCKHEAD 9-34,,Others
DGW/Hextar,COCKHEAD 13-6-27,13-6-27,Majemuk
DGW/Hextar,COCKHEAD 12-6-22,12-6-22,Majemuk
DGW/Hextar,COCKHEAD 15-15-15,15-15-15,Majemuk
DGW/Hextar,COCKHEAD 15-15-6,15-15-6,Majemuk
DGW/Hextar,COCKHEAD 12-12-17,12-12-17,Majemuk
DGW/Hextar,COCKHEAD 13-8-27,13-8-27,Majemuk
DGW/Hextar,CROPFAST 21-21-21+TE,21-21-21,Majemuk
DGW/Hextar,CROPFAST 13-26-26+TE,13-26-26,Majemuk
DGW/Hextar,CROPFAST 16-16-16+TE,16-16-16,Majemuk
Mahkota,Amonium Sulfate (ZA),,Others
Mahkota,KCL Canada,,Others
Mahkota,Rock Phospate Peru,,Others
Mahkota,Rock Phospate Egypt,,Others
Mahkota,Tripel Super Phospate (TSP),,Others
Mahkota,Kieserit,,Others
Mahkota,Borate + K,,Others
Mahkota,Zinc Sulfate (Pupuk Zn),,Others
Mahkota,Cooper Sulfate (Pupuk Cu),,Others
Mahkota,NPK -15-15-6-4,15-15-6-4,Majemuk
Mahkota,NPK 12-12-17-2+TE,12-12-17-2,Majemuk
Mahkota,NPK 13-6-27-4+0.5B,13-6-27-4,Majemuk
Mahkota,NPK 13-8-27-4+0.65B,13-8-27-4,Majemuk
Mahkota,NPK 16-16-16 (Rusia),16-16-16,Majemuk
Mahkota,NP 16-20-12(S),,Others
Mahkota,Glisat 480 SL,,Others
Mahkota,Glibas 480 SL,,Others
Mahkota,Tiara 20 WG,,Others
Mahkota,Glinat 150 SL,,Others
Mahkota,Fixus 360 SC,,Others
BASF,Abate 1 GR,,Others
BASF,Stratagem 0.005 BB,,Others
BASF,Tenopa 60 SC,,Others
